iter	Passed	Remaining
434	1475	1916
435	1479	1913
436	1482	1910
437	1485	1905
438	1485	1898
439	1488	1894
440	1492	1891
441	1495	1887
442	1497	1882
443	1502	1881
444	1504	1876
445	1507	1872
446	1509	1868
447	1519	1872
448	1523	1869
449	1526	1865
450	1534	1867
451	1536	1863
452	1539	1859
453	1542	1854
454	1544	1850
455	1547	1845
456	1553	1846
457	1560	1847
458	1563	1843
459	1567	1840
460	1575	1842
461	1578	1838
462	1581	1834
463	1584	1830
464	1588	1827
465	1590	1823
466	1593	1818
467	1596	1814
468	1598	1809
469	1600	1805
470	1602	1799
471	1604	1795
472	1607	1790
473	1610	1787
474	1613	1782
475	1616	1779
476	1618	1774
477	1621	1770
478	1624	1766
479	1627	1763
480	1631	1759
481	1633	1755
482	1636	1751
483	1639	1748
484	1641	1742
485	1643	1737
486	1646	1734
487	1652	1734
488	1655	1729
489	1657	1725
490	1663	1724
491	1664	1719
492	1667	1714
493	1670	1711
494	1673	1707
495	1675	1702
496	1679	1699
497	1682	1695
498	1684	1691
499	1687	1687
500	1696	1690
501	1700	1686
502	1702	1682
503	1705	1678
504	1708	1675
505	1712	1671
506	1717	1670
507	1720	1666
508	1723	1662
509	1726	1659
510	1732	1657
511	1734	1653
512	1736	1648
513	1739	1644
514	1741	1639
515	1745	1636
516	1752	1637
517	1756	1634
518	1759	1631
519	1762	1626
520	1765	1623
521	1769	1620
522	1772	1616
523	1776	1613
524	1780	1611
525	1783	1607
526	1789	1606
527	1792	1602
528	1800	1603
529	1803	1599
530	1807	1596
531	1809	1591
532	1811	1587
533	1815	1584
534	1818	1580
535	1821	1576
536	1825	1573
537	1830	1571
538	1833	1568
539	1835	1563
540	1837	1558
541	1839	1554
542	1842	1550
543	1844	1546
544	1846	1541
545	1849	1537
546	1852	1533
547	1854	1529
548	1855	1524
549	1858	1520
550	1862	1518
551	1866	1514
552	1869	1510
553	1872	1507
554	1876	1504
555	1879	1500
556	1884	1498
557	1887	1494
558	1890	1491
559	1892	1487
560	1895	1483
561	1898	1479
562	1899	1474
563	1903	1471
564	1906	1467
565	1908	1463
566	1911	1459
567	1914	1455
568	1917	1452
569	1919	1448
570	1928	1449
571	1931	1445
572	1934	1441
573	1937	1437
574	1940	1434
575	1943	1430
576	1946	1426
577	1948	1422
578	1951	1419
579	1954	1415
580	1956	1411
581	1959	1407
582	1962	1403
583	1969	1403
584	1972	1399
585	1974	1394
586	1977	1391
587	1980	1387
588	1982	1383
589	1985	1380
590	1989	1376
591	1991	1372
592	1994	1368
593	1997	1365
594	2003	1363
595	2006	1360
596	2009	1356
597	2012	1352
598	2016	1349
599	2022	1348
600	2028	1346
601	2032	1343
602	2037	1341
603	2040	1337
604	2044	1334
605	2046	1330
606	2048	1326
607	2051	1322
608	2053	1318
609	2058	1315
610	2061	1312
611	2064	1308
612	2066	1304
613	2069	1300
614	2072	1297
615	2074	1293
616	2078	1290
617	2081	1286
618	2083	1282
619	2092	1282
620	2094	1278
621	2105	1279
622	2113	1278
623	2126	1281
624	2137	1282
625	2139	1278
626	2148	1277
627	2150	1274
628	2164	1276
629	2166	1272
630	2170	1269
631	2172	1265
632	2175	1261
633	2183	1260
634	2192	1260
635	2195	1256
636	2197	1251
637	2198	1247
638	2205	1245
639	2207	1241
640	2209	1237
641	2212	1233
642	2216	1230
643	2220	1227
644	2223	1223
645	2232	1223
646	2240	1222
647	2242	1217
648	2246	1214
649	2254	1213
650	2258	1210
651	2261	1207
652	2265	1203
653	2268	1200
654	2280	1201
655	2286	1199
656	2291	1196
657	2295	1192
658	2296	1188
659	2300	1185
660	2303	1181
661	2307	1178
662	2310	1174
663	2313	1170
664	2319	1168
665	2322	1164
666	2324	1160
667	2329	1157
668	2333	1154
669	2336	1150
670	2339	1147
671	2343	1143
672	2345	1139
673	2347	1135
674	2352	1132
675	2355	1129
676	2357	1124
677	2359	1120
678	2363	1117
679	2369	1115
680	2376	1113
681	2380	1109
682	2382	1105
683	2385	1102
684	2390	1099
685	2393	1095
686	2396	1091
687	2399	1087
688	2401	1084
689	2408	1081
690	2411	1078
691	2413	1074
692	2419	1071
693	2422	1068
694	2425	1064
695	2427	1060
696	2428	1055
697	2431	1051
698	2433	1048
699	2435	1043
700	2437	1039
701	2440	1035
702	2444	1032
703	2446	1028
704	2450	1025
705	2455	1022
706	2459	1019
707	2462	1015
708	2465	1011
709	2468	1008
710	2470	1004
711	2473	1000
712	2478	997
713	2480	993
714	2484	990
715	2487	986
716	2491	983
717	2493	979
718	2496	975
719	2499	972
720	2502	968
721	2506	964
722	2510	961
723	2512	957
724	2514	953
725	2516	949
726	2520	946
727	2522	942
728	2525	938
729	2527	934
730	2529	930
731	2531	926
732	2533	923
733	2535	919
734	2537	914
735	2540	911
736	2543	907
737	2545	903
738	2551	901
739	2554	897
740	2559	894
741	2568	893
742	2570	889
743	2572	885
744	2580	883
745	2582	879
746	2589	877
747	2591	873
748	2593	869
749	2595	865
750	2601	862
751	2605	859
752	2607	855
753	2609	851
754	2612	847
755	2614	843
756	2616	839
757	2619	836
758	2622	832
759	2628	830
760	2634	827
761	2637	823
762	2640	820
763	2642	816
764	2645	812
765	2648	809
766	2652	805
767	2654	801
768	2660	799
769	2663	795
770	2666	791
771	2667	787
772	2671	784
773	2674	780
774	2678	777
775	2681	773
776	2684	770
777	2689	767
778	2692	763
779	2695	760
780	2698	756
781	2713	756
782	2720	753
783	2722	750
784	2726	746
785	2729	743
786	2736	740
787	2747	739
788	2757	737
789	2762	734
790	2768	731
791	2770	727
792	2772	723
793	2777	720
794	2781	717
795	2786	714
796	2789	710
797	2799	708
798	2808	706
799	2813	703
800	2818	700
801	2822	696
802	2824	692
803	2835	691
804	2843	688
805	2846	685
806	2853	682
807	2857	678
808	2860	675
809	2862	671
810	2868	668
811	2871	664
812	2873	661
813	2884	659
814	2888	655
815	2892	652
816	2896	648
817	2898	645
818	2901	641
819	2905	637
820	2908	634
821	2911	630
822	2918	627
823	2923	624
824	2930	621
825	2932	617
826	2935	614
827	2948	612
828	2955	609
829	2961	606
830	2966	603
831	2969	599
832	2971	595
833	2974	592
834	2977	588
835	2980	584
836	2987	581
837	2994	578
838	2998	575
839	3002	571
840	3005	568
841	3010	564
842	3014	561
843	3018	557
844	3021	554
845	3024	550
846	3028	547
847	3033	543
848	3035	539
849	3038	536
850	3041	532
851	3049	529
852	3052	526
853	3055	522
854	3058	518
855	3063	515
856	3071	512
857	3073	508
858	3076	505
859	3079	501
860	3088	498
861	3091	494
862	3095	491
863	3098	487
864	3103	484
865	3107	480
866	3109	477
867	3112	473
868	3123	470
869	3129	467
870	3132	463
871	3135	460
872	3142	457
873	3148	453
874	3151	450
875	3153	446
876	3155	442
877	3162	439
878	3167	436
879	3169	432
880	3174	428
881	3177	425
882	3179	421
883	3181	417
884	3192	414
885	3194	410
886	3197	407
887	3199	403
888	3202	399
889	3204	396
890	3207	392
891	3212	388
892	3215	385
893	3225	382
894	3228	378
895	3232	375
896	3235	371
897	3238	367
898	3241	364
899	3244	360
900	3247	356
901	3249	353
902	3251	349
903	3253	345
904	3255	341
905	3257	337
906	3259	334
907	3262	330
908	3264	326
909	3266	323
910	3269	319
911	3271	315
912	3272	311
913	3276	308
914	3279	304
915	3282	300
916	3287	297
917	3290	293
918	3294	290
919	3297	286
920	3300	283
921	3304	279
922	3307	275
923	3311	272
924	3314	268
925	3321	265
926	3326	261
927	3335	258
928	3339	255
929	3343	251
930	3347	248
931	3350	244
932	3353	240
933	3357	237
934	3360	233
935	3362	229
936	3365	226
937	3366	222
938	3368	218
939	3370	215
940	3372	211
941	3375	207
942	3377	204
943	3379	200
944	3381	196
945	3383	193
946	3386	189
947	3389	185
948	3391	182
949	3393	178
950	3397	175
951	3400	171
952	3401	167
953	3403	164
954	3405	160
955	3407	156
956	3411	153
957	3413	149
958	3415	146
959	3419	142
960	3423	138
961	3425	135
962	3429	131
963	3433	128
964	3435	124
965	3437	120
966	3438	117
967	3441	113
968	3446	110
969	3448	106
970	3450	103
971	3452	99
972	3456	95
973	3458	92
974	3460	88
975	3461	85
976	3463	81
977	3468	78
978	3471	74
979	3472	70
980	3474	67
981	3476	63
982	3478	60
983	3480	56
984	3482	53
985	3483	49
986	3486	45
987	3489	42
988	3490	38
989	3492	35
990	3494	31
991	3495	28
992	3497	24
993	3499	21
994	3502	17
995	3509	14
996	3511	10
997	3513	7
998	3515	3
999	3519	0
